SalesPeriodName,StartDate,EndDate
Summer Sale (Jul 2001),2001-07-01 00:00:00,2001-07-12 00:00:00
Fall Promotion (Aug 2001),2001-08-25 00:00:00,2001-09-08 00:00:00
Halloween Sale (Sep 2001),2001-09-22 00:00:00,2001-10-09 00:00:00
Winter Sale (Nov 2001),2001-11-02 00:00:00,2001-11-09 00:00:00
Holiday Season Sale (Dec 2001),2001-12-02 00:00:00,2001-12-22 00:00:00
Cyber Monday Deals (Feb 2002),2002-02-05 00:00:00,2002-02-13 00:00:00
Spring Sale Event (Mar 2002),2002-03-13 00:00:00,2002-03-24 00:00:00
Holiday Discounts (May 2002),2002-05-03 00:00:00,2002-05-17 00:00:00
Summer Discounts (May 2002),2002-05-31 00:00:00,2002-06-13 00:00:00
July Sale (Jul 2002),2002-07-09 00:00:00,2002-07-17 00:00:00
Back to School Deals (Aug 2002),2002-08-15 00:00:00,2002-09-09 00:00:00
Back to School Deals (Oct 2002),2002-10-08 00:00:00,2002-10-31 00:00:00
Holiday Season Sale (Nov 2002),2002-11-27 00:00:00,2002-12-22 00:00:00
Rainy Day Deals (Mar 2003),2003-03-04 00:00:00,2003-03-26 00:00:00
Late April Sale (Apr 2003),2003-04-30 00:00:00,2003-05-24 00:00:00
School End Sale (Jul 2003),2003-07-05 00:00:00,2003-07-29 00:00:00
Cyber Monday Deals (Sep 2003),2003-09-03 00:00:00,2003-09-26 00:00:00
Fall Sale (Oct 2003),2003-10-08 00:00:00,2003-10-17 00:00:00
Halloween Discounts (Oct 2003),2003-10-30 00:00:00,2003-11-08 00:00:00
New Years Deals (Dec 2003),2003-12-21 00:00:00,2003-12-28 00:00:00
Cyber Monday Deals (Feb 2004),2004-02-05 00:00:00,2004-02-18 00:00:00
Anniversary Event (Mar 2004),2004-03-24 00:00:00,2004-04-08 00:00:00
End of School Year Sale (Apr 2004),2004-04-22 00:00:00,2004-05-17 00:00:00
Summer Clearance (Jun 2004),2004-06-18 00:00:00,2004-06-27 00:00:00
Holiday Season Sale (Jul 2004),2004-07-07 00:00:00,2004-07-26 00:00:00
